regime,split_id,model,r2,rmse,mae,n_train,n_test
random_cv,random_cv_11,elastic_net,-0.00468819940854126,2.3378533369241135,0.9145887807931857,807,202
random_cv,random_cv_11,lightgbm,0.8833163708221933,0.7967215718436611,0.3009663229840375,807,202
random_cv,random_cv_11,mlp_regressor,0.9320215756347286,0.6081170205502407,0.25398804172825085,807,202
random_cv,random_cv_12,elastic_net,-0.0246061004572784,2.5040000457462894,0.9229507233737838,807,202
random_cv,random_cv_12,lightgbm,0.8605248245034433,0.9238560816764493,0.2992832687716788,807,202
random_cv,random_cv_12,mlp_regressor,0.9567720265234592,0.5143257901711914,0.21543855769833345,807,202
random_cv,random_cv_13,elastic_net,0.02990828593950401,2.2330940807139052,0.831384824698011,807,202
random_cv,random_cv_13,lightgbm,0.8971952936590999,0.7269543191885982,0.24319586752295508,807,202
random_cv,random_cv_13,mlp_regressor,0.9113285936514973,0.675137795150682,0.21123411634829198,807,202
random_cv,random_cv_14,elastic_net,-0.0058396628777350745,2.099638779343021,0.8095751968791444,807,202
random_cv,random_cv_14,lightgbm,0.9378856134501076,0.5217666385344675,0.19538262626061406,807,202
random_cv,random_cv_14,mlp_regressor,0.9459185678296937,0.4868602288290181,0.19181955109521873,807,202
random_cv,random_cv_15,elastic_net,0.0817693957055804,1.5424890857367566,0.721433666328276,808,201
random_cv,random_cv_15,lightgbm,0.8886038215309703,0.5372561110862928,0.20753142707536973,808,201
random_cv,random_cv_15,mlp_regressor,0.8665524103175755,0.5880328455439457,0.2047631366064588,808,201
group_exp,group_exp_01,elastic_net,-0.035581843628555765,2.8856010743281875,1.16953853551189,806,203
group_exp,group_exp_01,lightgbm,0.7384067562946427,1.4502983028564556,0.559594574640259,806,203
group_exp,group_exp_01,mlp_regressor,0.7068847247397969,1.535194136676414,0.6519252211350921,806,203
group_exp,group_exp_02,elastic_net,0.01663413909092737,1.0936512705260983,0.4773598326638808,806,203
group_exp,group_exp_02,lightgbm,0.8116142782562221,0.4786800084313962,0.2143938750757712,806,203
group_exp,group_exp_02,mlp_regressor,0.8113307764248932,0.4790400559972891,0.2301272017799022,806,203
group_exp,group_exp_03,elastic_net,-0.025912544320770614,2.18955825260481,0.8396992047746641,806,203
group_exp,group_exp_03,lightgbm,0.8915151943413026,0.7120095053856914,0.26089746638834804,806,203
group_exp,group_exp_03,mlp_regressor,0.832640784886729,0.8843540093418168,0.33633009545264686,806,203
group_exp,group_exp_04,elastic_net,-0.05559330450023503,2.8372645406432615,1.1445388943128898,807,202
group_exp,group_exp_04,lightgbm,0.8072281381503764,1.2124765222979557,0.5562219587559979,807,202
group_exp,group_exp_04,mlp_regressor,0.5882353463945248,1.772050314060805,0.8071870935436743,807,202
group_exp,group_exp_05,elastic_net,0.1824789186708322,1.1324899925823777,0.5989573476631881,811,198
group_exp,group_exp_05,lightgbm,0.3755591210511945,0.9897614985811144,0.3262707271896701,811,198
group_exp,group_exp_05,mlp_regressor,0.577515084079696,0.814123885446561,0.31227123888868347,811,198
group_aut,group_aut_01,elastic_net,-0.753389147200817,0.31293506674961835,0.2876697127137955,811,198
group_aut,group_aut_01,lightgbm,-17.152317975935528,1.0068878958236311,0.7601260561211817,811,198
group_aut,group_aut_01,mlp_regressor,-16.680747477144283,0.993723100052183,0.5530658847186797,811,198
group_aut,group_aut_02,elastic_net,-0.07017060380052254,1.7252313415864784,0.8450933889432554,805,204
group_aut,group_aut_02,lightgbm,0.030921184517797795,1.641724882150472,0.8960434366345942,805,204
group_aut,group_aut_02,mlp_regressor,-0.5252783040171363,2.059659251435775,1.268686241676752,805,204
group_aut,group_aut_03,elastic_net,0.003910820521106029,1.6337686393753517,0.7158731635778406,802,207
group_aut,group_aut_03,lightgbm,-0.006162897091152253,1.642009227663071,0.6106891084486827,802,207
group_aut,group_aut_03,mlp_regressor,-623.1695102108263,40.897119388130655,31.732727020157036,802,207
group_aut,group_aut_04,elastic_net,-3.4330070553238494,0.2988072490822952,0.2439924376547227,809,200
group_aut,group_aut_04,lightgbm,-31.35539299658174,0.8072633905618833,0.3394050014008063,809,200
group_aut,group_aut_04,mlp_regressor,-108080.27765210185,46.65703678026244,40.859753843123656,809,200
group_aut,group_aut_05,elastic_net,-0.27225647303434597,4.398285362260338,2.159117556134132,809,200
group_aut,group_aut_05,lightgbm,-0.29110836411092755,4.430751731042015,2.2292325264468094,809,200
group_aut,group_aut_05,mlp_regressor,-2.037279572839868,6.795766577120859,3.221975287975231,809,200
leave_one_study_out,leave_one_study_out_01,elastic_net,-25.437167052703437,0.3912471648090626,0.3841512513997299,979,30
leave_one_study_out,leave_one_study_out_01,lightgbm,-19.826990062715463,0.3472617909253948,0.24692659292474123,979,30
leave_one_study_out,leave_one_study_out_01,mlp_regressor,-31.06849586937588,0.430906495773373,0.3160355841721531,979,30
leave_one_study_out,leave_one_study_out_02,elastic_net,-681.9045166001488,0.3844011099841889,0.38414996704430376,971,38
leave_one_study_out,leave_one_study_out_02,lightgbm,-197.35070250628732,0.20716744599571274,0.20320526986094214,971,38
leave_one_study_out,leave_one_study_out_02,mlp_regressor,-1.5681436527148152,0.023572969646858455,0.020566633434564767,971,38
leave_one_study_out,leave_one_study_out_03,elastic_net,-0.46061097018720054,0.07037812068766205,0.045939117616874046,964,45
leave_one_study_out,leave_one_study_out_03,lightgbm,-3.348807075416862,0.12143823804536245,0.09067628129895178,964,45
leave_one_study_out,leave_one_study_out_03,mlp_regressor,-1.4819398400347565,0.09174153698255977,0.07089011377777778,964,45
leave_one_study_out,leave_one_study_out_04,elastic_net,-1.3548286144090724,0.03865142571773084,0.032600599136031874,939,70
leave_one_study_out,leave_one_study_out_04,lightgbm,-40.03175035284298,0.16134142477956434,0.13926537827803678,939,70
leave_one_study_out,leave_one_study_out_04,mlp_regressor,-4520340.405312104,53.5514807919621,53.55147486857281,939,70
leave_one_study_out,leave_one_study_out_05,elastic_net,-3.6437312605258967,5.122035431323944,4.539930372926926,989,20
