regime,split_id,model,r2,rmse,mae,n_train,n_test,inner_best_rmse,n_candidates
group_exp,group_exp_03,mlp_regressor,0.5611156135840856,1.4321100725268674,0.4633608474185738,806,203,1.3696245506413873,12
group_exp,group_exp_04,elastic_net,-0.40684836661236545,3.275481586228381,1.3934388285860204,807,202,1.4410278654447253,30
group_exp,group_exp_04,lightgbm,0.6267457598165066,1.6871507602720386,0.7454057630501368,807,202,1.3388498561941407,16
group_exp,group_exp_04,mlp_regressor,-3.521520581329666,5.8721044633458375,1.7810960620694989,807,202,1.3157073634875767,12
group_exp,group_exp_05,elastic_net,0.5099060665726121,0.8768484851855365,0.36281294144080284,811,198,1.9729876677924534,30
group_exp,group_exp_05,lightgbm,0.40603129339658983,0.9653097106168983,0.3201946533301072,811,198,1.1340124967596104,16
group_exp,group_exp_05,mlp_regressor,0.49095084640697517,0.8936444294748254,0.3370181803975427,811,198,1.4404349521808235,12
group_aut,group_aut_01,elastic_net,-2.7612299823971598,0.45833183058256294,0.36403894888517063,811,198,1.7063187047964903,30
group_aut,group_aut_01,lightgbm,-3.034835874698924,0.47470959683976144,0.3778139905598735,811,198,1.8982920578498212,16
group_aut,group_aut_01,mlp_regressor,-15.974613628921468,0.973677251977096,0.6323512352559962,811,198,2.1964647155315515,12
group_aut,group_aut_02,elastic_net,-0.07862903937261345,1.7320358813755161,0.823182269698884,805,204,1.3908942086106477,30
group_aut,group_aut_02,lightgbm,0.2657786809161974,1.4290069002776684,0.6795684977051403,805,204,1.7557798935548856,16
group_aut,group_aut_02,mlp_regressor,-1.8138788077652532,2.7975220923605075,1.9028720784305921,805,204,1.8575664256435847,12
group_aut,group_aut_03,elastic_net,0.15085191093440986,1.5084577912418031,0.6634778900729487,802,207,1.6657109492509812,30
group_aut,group_aut_03,lightgbm,-0.17603285228541754,1.7752158676015284,0.6728786412583762,802,207,1.6817233049910985,16
group_aut,group_aut_03,mlp_regressor,-0.08360892379305107,1.7040319393628476,0.6184412712788669,802,207,1.87333996319078,12
group_aut,group_aut_04,elastic_net,-8.932905124209205,0.4472805998247328,0.43284935828008114,809,200,1.8711705013590945,30
group_aut,group_aut_04,lightgbm,-38.717208491874096,0.8943989411054004,0.4120462997653352,809,200,2.1696774311478015,16
group_aut,group_aut_04,mlp_regressor,-250.5262597981986,2.250782783256531,0.7456039403883016,809,200,1.729493561397217,12
group_aut,group_aut_05,elastic_net,-0.2817614833956321,4.414684554013972,2.2361933462251486,809,200,0.8266897273643377,30
group_aut,group_aut_05,lightgbm,-0.28542773047267644,4.4209937493189475,2.2379031663660762,809,200,0.9858226297582423,16
group_aut,group_aut_05,mlp_regressor,-6.064544209862064,10.36425625129536,4.603841554685008,809,200,0.9127274071738023,12
